Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,14.649999618530273,16.110000610351562,14.354999542236328,15.449999809265137,15.449999809265137,2146576
2020-11-24,16.09000015258789,16.280000686645508,13.649999618530273,14.130000114440918,14.130000114440918,2280328
2020-11-25,14.5,15.829999923706055,14.300000190734863,15.0,15.0,2068199
2020-11-27,15.84000015258789,15.979999542236328,14.71720027923584,14.989999771118164,14.989999771118164,1367394
2020-11-30,15.149999618530273,15.428099632263184,13.819999694824219,15.069999694824219,15.069999694824219,1145259
2020-12-01,14.970000267028809,15.2298002243042,13.260000228881836,13.770000457763672,13.770000457763672,1724733
2020-12-02,13.626299858093262,14.5,12.824999809265137,13.8100004196167,13.8100004196167,981104
2020-12-03,13.869999885559082,15.0,13.550000190734863,14.449999809265137,14.449999809265137,889614
2020-12-04,15.020000457763672,15.109999656677246,13.649999618530273,14.5600004196167,14.5600004196167,994210
2020-12-07,14.979999542236328,15.550000190734863,14.699999809265137,15.350000381469727,15.350000381469727,1132526
2020-12-08,14.890000343322754,15.130000114440918,13.859999656677246,14.430000305175781,14.430000305175781,1204868
2020-12-09,15.180000305175781,16.239999771118164,14.109999656677246,14.65999984741211,14.65999984741211,1283540
2020-12-10,14.970000267028809,15.470000267028809,14.4399995803833,15.399999618530273,15.399999618530273,757631
2020-12-11,15.0600004196167,15.300000190734863,14.449999809265137,14.649999618530273,14.649999618530273,725340
2020-12-14,14.649999618530273,14.960000038146973,14.020000457763672,14.630000114440918,14.630000114440918,460549
2020-12-15,14.550000190734863,15.0,14.329999923706055,14.779999732971191,14.779999732971191,630303
2020-12-16,14.630000114440918,15.130000114440918,14.420000076293945,14.619999885559082,14.619999885559082,802133
2020-12-17,14.40999984741211,14.723899841308594,14.149999618530273,14.5600004196167,14.5600004196167,718790
2020-12-18,14.5600004196167,14.729999542236328,13.90999984741211,14.5600004196167,14.5600004196167,858387
2020-12-21,14.050000190734863,15.25,14.020000457763672,15.109999656677246,15.109999656677246,1083031
2020-12-22,16.200000762939453,16.200000762939453,15.289999961853027,16.0,16.0,1857697
2020-12-23,15.75,23.5,15.65999984741211,23.1299991607666,23.1299991607666,4930211
2020-12-24,21.170000076293945,21.844999313354492,18.700000762939453,19.229999542236328,19.229999542236328,1751104
2020-12-28,20.170000076293945,23.149999618530273,20.170000076293945,22.469999313354492,22.469999313354492,2581914
2020-12-29,22.040000915527344,23.9950008392334,19.5,23.739999771118164,23.739999771118164,2018427
