,snp500list
337,NSC
338,NTRS
339,NOC
340,NLOK
341,NCLH
342,NRG
343,NUE
344,NVDA
345,NVR
346,NXPI
347,ORLY
348,OXY
349,ODFL
350,OMC
351,OKE
352,ORCL
353,OGN
354,OTIS
355,PCAR
356,PKG
357,PH
358,PAYX
359,PAYC
360,PYPL
361,PENN
362,PNR
363,PBCT
364,PEP
365,PKI
366,PFE
367,PM
368,PSX
369,PNW
370,PXD
371,PNC
372,POOL
373,PPG
374,PPL
375,PFG
376,PG
377,PGR
378,PLD
379,PRU
380,PTC
381,PEG
382,PSA
383,PHM
384,PVH
385,QRVO
386,PWR
387,QCOM
388,DGX
389,RL
390,RJF
391,RTX
392,O
393,REG
394,REGN
395,RF
396,RSG
397,RMD
398,RHI
399,ROK
400,ROL
401,ROP
402,ROST
403,RCL
404,SPGI
405,CRM
406,SBAC
407,SLB
408,STX
409,SEE
410,SRE
411,NOW
412,SHW
413,SPG
414,SWKS
415,SNA
416,SO
417,LUV
418,SWK
419,SBUX
420,STT
421,STE
422,SYK
423,SIVB
424,SYF
425,SNPS
426,SYY
427,TMUS
428,TROW
429,TTWO
430,TPR
431,TGT
432,TEL
433,TDY
434,TFX
435,TER
436,TSLA
437,TXN
438,TXT
439,TMO
440,TJX
441,TSCO
442,TT
443,TDG
444,TRV
445,TRMB
446,TFC
447,TWTR
448,TYL
449,TSN
450,UDR
451,ULTA
452,USB
453,UAA
454,UA
455,UNP
456,UAL
457,UNH
458,UPS
459,URI
460,UHS
461,VLO
462,VTR
463,VRSN
464,VRSK
465,VZ
466,VRTX
467,VFC
468,VIAC
469,VTRS
470,V
471,VNO
472,VMC
473,WRB
474,WAB
475,WMT
476,WBA
477,DIS
478,WM
479,WAT
480,WEC
481,WFC
482,WELL
483,WST
484,WDC
485,WU
486,WRK
487,WY
488,WHR
489,WMB
490,WLTW
491,WYNN
492,XEL
493,XLNX
494,XYL
495,YUM
496,ZBRA
497,ZBH
498,ZION
499,ZTS
