Datetime,Close
2021-05-14 04:00:00-04:00,125.93
2021-05-14 04:02:00-04:00,125.97
2021-05-14 04:04:00-04:00,126.04
2021-05-14 04:06:00-04:00,126.18
2021-05-14 04:08:00-04:00,126.12
2021-05-14 04:10:00-04:00,126.06
2021-05-14 04:12:00-04:00,126.05
2021-05-14 04:14:00-04:00,125.97
2021-05-14 04:16:00-04:00,126.03
2021-05-14 04:18:00-04:00,126.1
2021-05-14 04:20:00-04:00,126.06
2021-05-14 04:22:00-04:00,126.0
2021-05-14 04:24:00-04:00,126.02
2021-05-14 04:26:00-04:00,125.96
2021-05-14 04:28:00-04:00,126.0
2021-05-14 04:30:00-04:00,126.0
2021-05-14 04:32:00-04:00,126.03
2021-05-14 04:34:00-04:00,126.05
2021-05-14 04:36:00-04:00,126.21
2021-05-14 04:38:00-04:00,126.12
2021-05-14 04:40:00-04:00,126.19
2021-05-14 04:42:00-04:00,126.19
2021-05-14 04:44:00-04:00,126.16
2021-05-14 04:46:00-04:00,126.15
2021-05-14 04:48:00-04:00,126.21
2021-05-14 04:50:00-04:00,126.25
2021-05-14 04:52:00-04:00,126.31
2021-05-14 04:54:00-04:00,126.3
2021-05-14 04:56:00-04:00,126.34
2021-05-14 04:58:00-04:00,126.32
2021-05-14 05:00:00-04:00,126.31
2021-05-14 05:02:00-04:00,126.34
2021-05-14 05:04:00-04:00,126.33
2021-05-14 05:06:00-04:00,126.37
2021-05-14 05:08:00-04:00,126.36
2021-05-14 05:10:00-04:00,126.46
2021-05-14 05:12:00-04:00,126.46
2021-05-14 05:14:00-04:00,126.51
2021-05-14 05:16:00-04:00,126.69
2021-05-14 05:18:00-04:00,126.64
2021-05-14 05:20:00-04:00,126.67
2021-05-14 05:22:00-04:00,126.63
2021-05-14 05:24:00-04:00,126.55
2021-05-14 05:26:00-04:00,126.64
2021-05-14 05:28:00-04:00,126.63
2021-05-14 05:30:00-04:00,126.65
2021-05-14 05:32:00-04:00,126.61
2021-05-14 05:34:00-04:00,126.62
2021-05-14 05:36:00-04:00,126.62
2021-05-14 05:38:00-04:00,126.63
2021-05-14 05:40:00-04:00,126.55
2021-05-14 05:42:00-04:00,126.58
2021-05-14 05:44:00-04:00,126.57
2021-05-14 05:46:00-04:00,126.6
2021-05-14 05:48:00-04:00,126.55
2021-05-14 05:50:00-04:00,126.55
2021-05-14 05:52:00-04:00,126.6
2021-05-14 05:54:00-04:00,126.57
2021-05-14 05:56:00-04:00,126.47
2021-05-14 05:58:00-04:00,126.48
2021-05-14 06:00:00-04:00,126.46
2021-05-14 06:02:00-04:00,126.44
2021-05-14 06:04:00-04:00,126.41
2021-05-14 06:06:00-04:00,126.43
2021-05-14 06:08:00-04:00,126.43
2021-05-14 06:10:00-04:00,126.43
2021-05-14 06:12:00-04:00,126.41
2021-05-14 06:14:00-04:00,126.38
2021-05-14 06:16:00-04:00,126.33
2021-05-14 06:18:00-04:00,126.39
2021-05-14 06:20:00-04:00,126.52
2021-05-14 06:22:00-04:00,126.55
2021-05-14 06:24:00-04:00,126.55
2021-05-14 06:26:00-04:00,126.5
2021-05-14 06:28:00-04:00,126.56
2021-05-14 06:30:00-04:00,126.56
2021-05-14 06:32:00-04:00,126.5
2021-05-14 06:34:00-04:00,126.48
2021-05-14 06:36:00-04:00,126.46
2021-05-14 06:38:00-04:00,126.4
2021-05-14 06:40:00-04:00,126.44
2021-05-14 06:42:00-04:00,126.39
2021-05-14 06:44:00-04:00,126.41
2021-05-14 06:46:00-04:00,126.48
2021-05-14 06:48:00-04:00,126.41
2021-05-14 06:50:00-04:00,126.45
2021-05-14 06:52:00-04:00,126.48
2021-05-14 06:54:00-04:00,126.48
2021-05-14 06:56:00-04:00,126.47
2021-05-14 06:58:00-04:00,126.44
2021-05-14 07:00:00-04:00,126.34
2021-05-14 07:02:00-04:00,126.38
2021-05-14 07:04:00-04:00,126.43
2021-05-14 07:06:00-04:00,126.46
2021-05-14 07:08:00-04:00,126.55
2021-05-14 07:10:00-04:00,126.46
2021-05-14 07:12:00-04:00,126.4
2021-05-14 07:14:00-04:00,126.35
2021-05-14 07:16:00-04:00,126.4
2021-05-14 07:18:00-04:00,126.37
2021-05-14 07:20:00-04:00,126.43
2021-05-14 07:22:00-04:00,126.34
2021-05-14 07:24:00-04:00,126.34
2021-05-14 07:26:00-04:00,126.39
2021-05-14 07:28:00-04:00,126.54
2021-05-14 07:30:00-04:00,126.55
2021-05-14 07:32:00-04:00,126.49
2021-05-14 07:34:00-04:00,126.44
2021-05-14 07:36:00-04:00,126.45
2021-05-14 07:38:00-04:00,126.39
2021-05-14 07:40:00-04:00,126.42
2021-05-14 07:42:00-04:00,126.49
2021-05-14 07:44:00-04:00,126.5
2021-05-14 07:46:00-04:00,126.45
2021-05-14 07:48:00-04:00,126.39
2021-05-14 07:50:00-04:00,126.39
2021-05-14 07:52:00-04:00,126.35
2021-05-14 07:54:00-04:00,126.37
2021-05-14 07:56:00-04:00,126.44
2021-05-14 07:58:00-04:00,126.46
2021-05-14 08:00:00-04:00,126.58
2021-05-14 08:02:00-04:00,126.56
2021-05-14 08:04:00-04:00,126.5
2021-05-14 08:06:00-04:00,126.49
2021-05-14 08:08:00-04:00,126.5
2021-05-14 08:10:00-04:00,126.48
2021-05-14 08:12:00-04:00,126.44
2021-05-14 08:14:00-04:00,126.44
2021-05-14 08:16:00-04:00,126.48
2021-05-14 08:18:00-04:00,126.5
2021-05-14 08:20:00-04:00,126.59
2021-05-14 08:22:00-04:00,126.55
2021-05-14 08:24:00-04:00,126.54
2021-05-14 08:26:00-04:00,126.56
2021-05-14 08:28:00-04:00,126.58
2021-05-14 08:30:00-04:00,126.42
2021-05-14 08:32:00-04:00,126.45
2021-05-14 08:34:00-04:00,126.24
2021-05-14 08:36:00-04:00,126.25
2021-05-14 08:38:00-04:00,126.21
2021-05-14 08:40:00-04:00,126.28
2021-05-14 08:42:00-04:00,126.29
2021-05-14 08:44:00-04:00,126.38
2021-05-14 08:46:00-04:00,126.4
2021-05-14 08:48:00-04:00,126.38
2021-05-14 08:50:00-04:00,126.32
2021-05-14 08:52:00-04:00,126.51
2021-05-14 08:54:00-04:00,126.46
2021-05-14 08:56:00-04:00,126.56
2021-05-14 08:58:00-04:00,126.52
2021-05-14 09:00:00-04:00,126.45
2021-05-14 09:02:00-04:00,126.51
2021-05-14 09:04:00-04:00,126.48
2021-05-14 09:06:00-04:00,126.55
2021-05-14 09:08:00-04:00,126.69
2021-05-14 09:10:00-04:00,126.67
2021-05-14 09:12:00-04:00,126.59
2021-05-14 09:14:00-04:00,126.65
2021-05-14 09:16:00-04:00,126.54
2021-05-14 09:18:00-04:00,126.49
2021-05-14 09:20:00-04:00,126.61
2021-05-14 09:22:00-04:00,126.57
2021-05-14 09:24:00-04:00,126.59
2021-05-14 09:26:00-04:00,126.5
2021-05-14 09:28:00-04:00,126.28
2021-05-14 09:30:00-04:00,126.72000122070312
2021-05-14 09:32:00-04:00,126.75
2021-05-14 09:34:00-04:00,127.01010131835938
2021-05-14 09:36:00-04:00,126.84639739990234
2021-05-14 09:38:00-04:00,126.7300033569336
2021-05-14 09:40:00-04:00,126.3053970336914
2021-05-14 09:42:00-04:00,126.18000030517578
2021-05-14 09:44:00-04:00,126.57499694824219
2021-05-14 09:46:00-04:00,126.29789733886719
2021-05-14 09:48:00-04:00,126.05999755859375
2021-05-14 09:50:00-04:00,126.06999969482422
2021-05-14 09:52:00-04:00,126.2300033569336
2021-05-14 09:54:00-04:00,126.1510009765625
2021-05-14 09:56:00-04:00,126.32990264892578
2021-05-14 09:58:00-04:00,126.39800262451172
2021-05-14 10:00:00-04:00,126.33000183105469
2021-05-14 10:02:00-04:00,126.18990325927734
2021-05-14 10:04:00-04:00,125.99919891357422
2021-05-14 10:06:00-04:00,125.88500213623047
2021-05-14 10:08:00-04:00,125.9800033569336
2021-05-14 10:10:00-04:00,126.4813003540039
2021-05-14 10:12:00-04:00,126.6449966430664
2021-05-14 10:14:00-04:00,126.58999633789062
2021-05-14 10:16:00-04:00,126.67500305175781
2021-05-14 10:18:00-04:00,126.68000030517578
2021-05-14 10:20:00-04:00,126.72989654541016
2021-05-14 10:22:00-04:00,126.4749984741211
2021-05-14 10:24:00-04:00,126.54000091552734
2021-05-14 10:26:00-04:00,126.5250015258789
2021-05-14 10:28:00-04:00,126.37999725341797
2021-05-14 10:30:00-04:00,126.48500061035156
2021-05-14 10:32:00-04:00,126.53500366210938
2021-05-14 10:34:00-04:00,126.53489685058594
2021-05-14 10:36:00-04:00,126.49510192871094
